"Household income statistics by household type: Census metropolitan areas, tracted census agglomerations and census tracts 1"
"Frequency: Occasional"
"Table: 98-10-0058-01"
"Release date: 2022-07-13"
"Geography: Census metropolitan area, Census agglomeration, Census tract"
"Universe: Private households in occupied private dwellings, 2021 and 2016 censuses — 100% data"
"Variable List: Household type including census family structure (11), Household size (7), Household income statistics (6)"

"Geography","Household size (7) 2","Household type including census family structure (11)","Household income statistics (6)","Vector","Coordinate","2021"
"0001.01 - Calgary i163","Total - Households by household size","Total – Household type including census family structure 3","Number of households (2021) 4 5 6","..","163.1.1.1","2,085"
,,,"Median household total income (2020) (2020 constant dollars)","..","163.1.1.3","92,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","163.1.1.6","87,000"
"0001.02 - Calgary i164",,,"Number of households (2021) 4 5 6","..","164.1.1.1","2,550"
,,,"Median household total income (2020) (2020 constant dollars)","..","164.1.1.3","123,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","164.1.1.6","111,000"
"0001.03 - Calgary i165",,,"Number of households (2021) 4 5 6","..","165.1.1.1","800"
,,,"Median household total income (2020) (2020 constant dollars)","..","165.1.1.3","119,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","165.1.1.6","112,000"
"0001.04 - Calgary i166",,,"Number of households (2021) 4 5 6","..","166.1.1.1","2,245"
,,,"Median household total income (2020) (2020 constant dollars)","..","166.1.1.3","96,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","166.1.1.6","91,000"
"0001.05 - Calgary i167",,,"Number of households (2021) 4 5 6","..","167.1.1.1","1,030"
,,,"Median household total income (2020) (2020 constant dollars)","..","167.1.1.3","142,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","167.1.1.6","124,000"
"0001.06 - Calgary i168",,,"Number of households (2021) 4 5 6","..","168.1.1.1","1,430"
,,,"Median household total income (2020) (2020 constant dollars)","..","168.1.1.3","131,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","168.1.1.6","118,000"
"0001.07 - Calgary i169",,,"Number of households (2021) 4 5 6","..","169.1.1.1","2,335"
,,,"Median household total income (2020) (2020 constant dollars)","..","169.1.1.3","91,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","169.1.1.6","84,000"
"0001.08 - Calgary i170",,,"Number of households (2021) 4 5 6","..","170.1.1.1","2,040"
,,,"Median household total income (2020) (2020 constant dollars)","..","170.1.1.3","84,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","170.1.1.6","77,500"
"0001.09 - Calgary i171",,,"Number of households (2021) 4 5 6","..","171.1.1.1","2,345"
,,,"Median household total income (2020) (2020 constant dollars)","..","171.1.1.3","95,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","171.1.1.6","92,000"
"0001.10 - Calgary i172",,,"Number of households (2021) 4 5 6","..","172.1.1.1","1,055"
,,,"Median household total income (2020) (2020 constant dollars)","..","172.1.1.3","109,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","172.1.1.6","104,000"
"0001.11 - Calgary i173",,,"Number of households (2021) 4 5 6","..","173.1.1.1","1,810"
,,,"Median household total income (2020) (2020 constant dollars)","..","173.1.1.3","96,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","173.1.1.6","92,000"
"0001.13 - Calgary i174",,,"Number of households (2021) 4 5 6","..","174.1.1.1","1,715"
,,,"Median household total income (2020) (2020 constant dollars)","..","174.1.1.3","104,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","174.1.1.6","98,000"
"0001.14 - Calgary i175",,,"Number of households (2021) 4 5 6","..","175.1.1.1","1,010"
,,,"Median household total income (2020) (2020 constant dollars)","..","175.1.1.3","121,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","175.1.1.6","113,000"
"0001.17 - Calgary i176",,,"Number of households (2021) 4 5 6","..","176.1.1.1","1,615"
,,,"Median household total income (2020) (2020 constant dollars)","..","176.1.1.3","127,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","176.1.1.6","124,000"
"0001.22 - Calgary i177",,,"Number of households (2021) 4 5 6","..","177.1.1.1","1,420"
,,,"Median household total income (2020) (2020 constant dollars)","..","177.1.1.3","134,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","177.1.1.6","132,000"
"0001.23 - Calgary i178",,,"Number of households (2021) 4 5 6","..","178.1.1.1","1,020"
,,,"Median household total income (2020) (2020 constant dollars)","..","178.1.1.3","141,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","178.1.1.6","137,000"
"0001.25 - Calgary i179",,,"Number of households (2021) 4 5 6","..","179.1.1.1","2,560"
,,,"Median household total income (2020) (2020 constant dollars)","..","179.1.1.3","97,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","179.1.1.6","91,000"
"0001.28 - Calgary i180",,,"Number of households (2021) 4 5 6","..","180.1.1.1","1,445"
,,,"Median household total income (2020) (2020 constant dollars)","..","180.1.1.3","102,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","180.1.1.6","93,000"
"0001.29 - Calgary i181",,,"Number of households (2021) 4 5 6","..","181.1.1.1","1,550"
,,,"Median household total income (2020) (2020 constant dollars)","..","181.1.1.3","115,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","181.1.1.6","110,000"
"0001.30 - Calgary i182",,,"Number of households (2021) 4 5 6","..","182.1.1.1","2,015"
,,,"Median household total income (2020) (2020 constant dollars)","..","182.1.1.3","123,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","182.1.1.6","110,000"
"0001.32 - Calgary i183",,,"Number of households (2021) 4 5 6","..","183.1.1.1","1,840"
,,,"Median household total income (2020) (2020 constant dollars)","..","183.1.1.3","134,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","183.1.1.6","124,000"
"0001.33 - Calgary i184",,,"Number of households (2021) 4 5 6","..","184.1.1.1","880"
,,,"Median household total income (2020) (2020 constant dollars)","..","184.1.1.3","176,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","184.1.1.6","162,000"
"0001.35 - Calgary i185",,,"Number of households (2021) 4 5 6","..","185.1.1.1","1,390"
,,,"Median household total income (2020) (2020 constant dollars)","..","185.1.1.3","121,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","185.1.1.6","108,000"
"0001.37 - Calgary i186",,,"Number of households (2021) 4 5 6","..","186.1.1.1","1,775"
,,,"Median household total income (2020) (2020 constant dollars)","..","186.1.1.3","90,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","186.1.1.6","82,000"
"0001.38 - Calgary i187",,,"Number of households (2021) 4 5 6","..","187.1.1.1","1,825"
,,,"Median household total income (2020) (2020 constant dollars)","..","187.1.1.3","110,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","187.1.1.6","99,000"
"0001.39 - Calgary i188",,,"Number of households (2021) 4 5 6","..","188.1.1.1","2,310"
,,,"Median household total income (2020) (2020 constant dollars)","..","188.1.1.3","103,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","188.1.1.6","93,000"
"0001.40 - Calgary i189",,,"Number of households (2021) 4 5 6","..","189.1.1.1","1,075"
,,,"Median household total income (2020) (2020 constant dollars)","..","189.1.1.3","61,600"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","189.1.1.6","58,000"
"0001.41 - Calgary i190",,,"Number of households (2021) 4 5 6","..","190.1.1.1","820"
,,,"Median household total income (2020) (2020 constant dollars)","..","190.1.1.3","146,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","190.1.1.6","..."
"0001.42 - Calgary i191",,,"Number of households (2021) 4 5 6","..","191.1.1.1","2,350"
,,,"Median household total income (2020) (2020 constant dollars)","..","191.1.1.3","121,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","191.1.1.6","..."
"0001.43 - Calgary i192",,,"Number of households (2021) 4 5 6","..","192.1.1.1","1,430"
,,,"Median household total income (2020) (2020 constant dollars)","..","192.1.1.3","148,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","192.1.1.6","136,000"
"0001.44 - Calgary i193",,,"Number of households (2021) 4 5 6","..","193.1.1.1","800"
,,,"Median household total income (2020) (2020 constant dollars)","..","193.1.1.3","141,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","193.1.1.6","127,000"
"0001.45 - Calgary i194",,,"Number of households (2021) 4 5 6","..","194.1.1.1","1,420"
,,,"Median household total income (2020) (2020 constant dollars)","..","194.1.1.3","119,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","194.1.1.6","106,000"
"0001.46 - Calgary i195",,,"Number of households (2021) 4 5 6","..","195.1.1.1","1,675"
,,,"Median household total income (2020) (2020 constant dollars)","..","195.1.1.3","119,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","195.1.1.6","..."
"0001.47 - Calgary i196",,,"Number of households (2021) 4 5 6","..","196.1.1.1","1,330"
,,,"Median household total income (2020) (2020 constant dollars)","..","196.1.1.3","105,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","196.1.1.6","..."
"0001.48 - Calgary i197",,,"Number of households (2021) 4 5 6","..","197.1.1.1","3,065"
,,,"Median household total income (2020) (2020 constant dollars)","..","197.1.1.3","102,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","197.1.1.6","..."
"0001.49 - Calgary i198",,,"Number of households (2021) 4 5 6","..","198.1.1.1","1,665"
,,,"Median household total income (2020) (2020 constant dollars)","..","198.1.1.3","131,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","198.1.1.6","130,000"
"0001.50 - Calgary i199",,,"Number of households (2021) 4 5 6","..","199.1.1.1","865"
,,,"Median household total income (2020) (2020 constant dollars)","..","199.1.1.3","105,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","199.1.1.6","105,000"
"0002.02 - Calgary i200",,,"Number of households (2021) 4 5 6","..","200.1.1.1","2,510"
,,,"Median household total income (2020) (2020 constant dollars)","..","200.1.1.3","86,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","200.1.1.6","78,500"
"0002.04 - Calgary i201",,,"Number of households (2021) 4 5 6","..","201.1.1.1","280"
,,,"Median household total income (2020) (2020 constant dollars)","..","201.1.1.3","70,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","201.1.1.6","62,400"
"0002.06 - Calgary i202",,,"Number of households (2021) 4 5 6","..","202.1.1.1","1,430"
,,,"Median household total income (2020) (2020 constant dollars)","..","202.1.1.3","142,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","202.1.1.6","132,000"
"0002.07 - Calgary i203",,,"Number of households (2021) 4 5 6","..","203.1.1.1","1,810"
,,,"Median household total income (2020) (2020 constant dollars)","..","203.1.1.3","118,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","203.1.1.6","..."
"0002.08 - Calgary i204",,,"Number of households (2021) 4 5 6","..","204.1.1.1","1,575"
,,,"Median household total income (2020) (2020 constant dollars)","..","204.1.1.3","118,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","204.1.1.6","107,000"
"0002.09 - Calgary i205",,,"Number of households (2021) 4 5 6","..","205.1.1.1","1,360"
,,,"Median household total income (2020) (2020 constant dollars)","..","205.1.1.3","116,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","205.1.1.6","106,000"
"0002.10 - Calgary i206",,,"Number of households (2021) 4 5 6","..","206.1.1.1","1,335"
,,,"Median household total income (2020) (2020 constant dollars)","..","206.1.1.3","120,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","206.1.1.6","111,000"
"0002.11 - Calgary i207",,,"Number of households (2021) 4 5 6","..","207.1.1.1","1,270"
,,,"Median household total income (2020) (2020 constant dollars)","..","207.1.1.3","166,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","207.1.1.6","162,000"
"0002.12 - Calgary i208",,,"Number of households (2021) 4 5 6","..","208.1.1.1","640"
,,,"Median household total income (2020) (2020 constant dollars)","..","208.1.1.3","137,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","208.1.1.6","129,000"
"0002.14 - Calgary i209",,,"Number of households (2021) 4 5 6","..","209.1.1.1","1,935"
,,,"Median household total income (2020) (2020 constant dollars)","..","209.1.1.3","125,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","209.1.1.6","..."
"0002.15 - Calgary i210",,,"Number of households (2021) 4 5 6","..","210.1.1.1","1,510"
,,,"Median household total income (2020) (2020 constant dollars)","..","210.1.1.3","128,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","210.1.1.6","117,000"
"0002.17 - Calgary i211",,,"Number of households (2021) 4 5 6","..","211.1.1.1","985"
,,,"Median household total income (2020) (2020 constant dollars)","..","211.1.1.3","99,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","211.1.1.6","96,000"
"0002.18 - Calgary i212",,,"Number of households (2021) 4 5 6","..","212.1.1.1","2,570"
,,,"Median household total income (2020) (2020 constant dollars)","..","212.1.1.3","114,000"
